Hash	Adds	K Hash	Path
M3751f28d69	80	K4831b95bcd	mm-solutions/heule-canonical/15x2+54x+4y6+3y4+16y3+z29+z28+z27/i3w215c26fi-000.exp
Mad0cf21f06	86	K37d896ce4f	mm-solutions/heule-canonical/15x2+54x+4y6+3y4+16y3+z29+z28+z27/i3w219c23ci-000.exp
M8872975351	90	K2c3c0db3e6	mm-solutions/heule-canonical/15x2+54x+4y6+3y4+16y3+z29+z28+z27/i3w229c236f-000.exp
M0007e901d1	80	K992fc077a4	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+2z29+z27/i4w199c347g-000.exp
M2292409dc8	85	K992fc077a4	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+2z29+z27/i4w207c347g-000.exp
M82f9d05d65	91	K37d896ce4f	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+2z29+z27/i4w225c23ci-000.exp
M99d88ba580	94	K5ed6be0d41	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+2z29+z27/i4w235c28aj-000.exp
M08f19c511b	76	Kac65f87215	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+z30+z28+z27/i6w187c48ae-000.exp
M152adb21bb	80	Kac65f87215	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+z30+z28+z27/i6w195c48ae-000.exp
M0c452a56f6	82	K98c04fba6b	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+z30+z28+z27/i6w203c238h-000.exp
M058dd42f7f	87	K4831b95bcd	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+z30+z28+z27/i6w217c236f-000.exp
Ma8b45d3a06	91	K7ffa7db39f	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+z30+z28+z27/i6w225c346d-000.exp
Mdfa9e8d8ec	89	Ka7e5fc0ad4	mm-solutions/heule-canonical/16x2+53x+4y6+4y4+15y3+z30+z28+z27/i6w227c347g-000.exp
M7b4affd6c1	90	K3046dd5133	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+2z29+z28/i8w215c346f-000.exp
Mcf2094ca3a	89	Kdafda2915b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+2z29+z28/i8w219c349i-000.exp
M5f0c9eaa67	85	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+2z28/i9w213c48ae-001.exp
M527804dce4	89	K98c04fba6b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+2z28/i9w221c238h-000.exp
M226150bc19	88	K992fc077a4	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+2z28/i9w221c347g-000.exp
M29ef33efdd	91	K431981c73c	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+2z28/i9w227c389h-000.exp
M113b62d07c	94	K559946bfc2	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+2z28/i9w235c46ef-000.exp
M618692c54d	78	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w189c48ae-000.exp
M8c711f0987	79	Kdafda2915b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w191c34dj-000.exp
Md9705a14f3	79	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w191c48ae-000.exp
M2d59487df1	78	K98c04fba6b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w195c238h-000.exp
M450e319ff2	80	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w195c48ae-000.exp
Md35c94e010	82	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w197c48ae-000.exp
M1dab11ff56	83	Kdafda2915b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w199c34dj-000.exp
Mbcb05a4479	81	K9c4f7421a4	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w199c367g-000.exp
M2639a21bca	83	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w199c48ae-000.exp
Me19d618a19	83	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w199c48ae-001.exp
Mf395fb7e8e	82	K431981c73c	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w201c346d-000.exp
Ma2b1c38b73	82	K4831b95bcd	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w203c236f-000.exp
Mef7cbed621	83	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w203c356e-000.exp
M22f2e8a55b	84	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w203c48ae-001.exp
M32941b0fd4	85	K72bbb775d8	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w205c346d-000.exp
Md2ce21870f	84	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w205c48ae-000.exp
Ma6c5340baa	85	K98c04fba6b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w207c238h-000.exp
M2673f01783	86	K4831b95bcd	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w207c23fg-000.exp
Mf9f290b186	85	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w207c48ae-000.exp
Mf932ba8a2f	87	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w207c48ae-001.exp
