Dir	Valid	Unique	Doubles	Singles
14x2+55x+4y6+2y4+17y3+2z28+z27	1	1	1	0
15x2+54x+4y6+3y4+16y3+3z28	7	7	7	0
15x2+54x+4y6+3y4+16y3+z29+z28+z27	51	51	51	3
16x2+53x+4y6+4y4+15y3+2z29+z27	85	85	85	4
16x2+53x+4y6+4y4+15y3+z29+2z28	5	5	5	0
16x2+53x+4y6+4y4+15y3+z30+z28+z27	16	16	16	6
16x2+53x+4y6+y5+2y4+16y3+z29+2z28	4	4	4	0
17x2+52x+4y6+5y4+14y3+2z29+z28	23	23	23	2
17x2+52x+4y6+5y4+14y3+z30+2z28	62	62	62	5
17x2+52x+4y6+5y4+14y3+z30+z29+z27	133	132	132	36
17x2+52x+4y6+5y4+14y3+z31+z28+z27	19	19	19	4
17x2+52x+4y6+5y4+14y3+z32+2z27	674	593	593	0
17x2+52x+4y6+y5+3y4+15y3+2z29+z28	1	1	1	1
18x2+51x+4y6+6y4+13y3+2z30+z27	70	70	70	26
18x2+51x+4y6+6y4+13y3+3z29	2	2	2	0
18x2+51x+4y6+6y4+13y3+z30+z29+z28	110	110	110	48
18x2+51x+4y6+6y4+13y3+z31+2z28	124	124	124	34
18x2+51x+4y6+6y4+13y3+z31+z29+z27	116	116	116	34
18x2+51x+4y6+6y4+13y3+z32+z28+z27	1207	916	916	42
18x2+51x+4y6+6y4+13y3+z33+2z27	485	402	402	0
18x2+51x+4y6+y5+4y4+14y3+3z29	5	5	5	5
18x2+51x+4y6+y5+4y4+14y3+z30+z29+z28	27	27	27	0
18x2+51x+4y6+y5+4y4+14y3+z31+2z28	3	3	3	1
18x2+51x+4y6+y5+4y4+14y3+z32+z28+z27	303	303	303	0
19x2+50x+4y6+2y5+3y4+14y3+z30+2z29	3	3	3	0
19x2+50x+4y6+7y4+12y3+2z30+z28	60	59	59	35
19x2+50x+4y6+7y4+12y3+z30+2z29	45	43	43	26
19x2+50x+4y6+7y4+12y3+z31+z29+z28	479	479	479	149
19x2+50x+4y6+7y4+12y3+z31+z30+z27	136	136	136	86
19x2+50x+4y6+7y4+12y3+z32+2z28	844	631	631	103
19x2+50x+4y6+7y4+12y3+z32+z29+z27	556	510	510	174
19x2+50x+4y6+7y4+12y3+z33+z28+z27	720	482	482	0
19x2+50x+4y6+y5+5y4+13y3+2z30+z28	2	1	1	0
19x2+50x+4y6+y5+5y4+13y3+z30+2z29	19	18	18	9
19x2+50x+4y6+y5+5y4+13y3+z31+z29+z28	59	59	59	20
