Sig #	Hash	Count	Signature
01	559946bfc2	4	a11*b11*c11[01] a22*b22*c22[01] a11*b13*c31[02] a23*b32*c22[02] a12*b23*c31[03] a33*b31*c13[03] a22*b23*c32[04] a31*b11*c13[04]
02	cf4f9b0683	6	a11*b11*c11[01] a22*b22*c22[01] a11*b13*c31[02] a23*b32*c22[02] a12*b23*c31[03] a33*b32*c23[03] a22*b23*c32[04] a33*b31*c13[04]
03	2c3c0db3e6	1	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a12*b22*c21[03] a33*b31*c13[03] a22*b22*c22[04] a31*b11*c13[04]
04	4831b95bcd	11	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a12*b22*c21[03] a33*b33*c33[03] a22*b22*c22[04] a31*b11*c13[04]
05	a624a77c4e	3	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a13*b31*c11[03] a32*b22*c23[03] a23*b31*c12[04] a31*b12*c23[04]
06	98c04fba6b	14	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a13*b31*c11[03] a32*b23*c33[03] a23*b31*c12[04] a31*b12*c23[04]
07	ac65f87215	32	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a13*b31*c11[03] a32*b23*c33[03] a23*b31*c12[04] a32*b22*c23[04]
08	37d896ce4f	3	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a22*b22*c22[02] a13*b33*c31[03] a31*b12*c23[03] a23*b33*c32[04] a31*b11*c13[04]
09	5ed6be0d41	3	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a22*b22*c22[02] a13*b33*c31[03] a32*b22*c23[03] a23*b33*c32[04] a31*b11*c13[04]
10	3046dd5133	2	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a32*b22*c23[02] a13*b33*c31[03] a31*b12*c23[03] a23*b33*c32[04] a31*b11*c13[04]
11	45911591b5	2	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a32*b23*c33[02] a23*b31*c12[03] a32*b22*c23[03] a23*b33*c32[04] a31*b12*c23[04]
12	992fc077a4	4	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a12*b23*c31[03] a33*b31*c13[03] a22*b23*c32[04] a31*b12*c23[04]
13	a7e5fc0ad4	1	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a12*b23*c31[03] a33*b31*c13[03] a22*b23*c32[04] a33*b32*c23[04]
14	7ffa7db39f	2	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a13*b32*c21[03] a32*b21*c13[03] a23*b32*c22[04] a31*b13*c33[04]
15	dafda2915b	5	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a13*b32*c21[03] a32*b21*c13[03] a23*b32*c22[04] a32*b23*c33[04]
16	431981c73c	6	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a13*b32*c21[03] a32*b23*c33[03] a23*b32*c22[04] a31*b13*c33[04]
17	72bbb775d8	1	a11*b12*c21[01] a22*b23*c32[01] a13*b32*c21[02] a22*b21*c12[02] a13*b33*c31[03] a32*b21*c13[03] a23*b33*c32[04] a31*b12*c23[04]
18	12fc70e8df	1	a11*b12*c21[01] a23*b31*c12[01] a12*b22*c21[02] a33*b31*c13[02] a12*b23*c31[03] a31*b11*c13[03] a22*b23*c32[04] a31*b12*c23[04]
19	9c4f7421a4	1	a11*b12*c21[01] a23*b31*c12[01] a12*b22*c21[02] a33*b31*c13[02] a22*b23*c32[03] a31*b11*c13[03] a23*b33*c32[04] a31*b12*c23[04]
