Sig #	Hash	Downloaded	Generated	Signature
01	K559946bfc2	59	3	a11*b11*c11[01] a22*b22*c22[01] a11*b13*c31[02] a23*b32*c22[02] a12*b23*c31[03] a33*b31*c13[03] a22*b23*c32[04] a31*b11*c13[04]
02	Kcf4f9b0683	126	4	a11*b11*c11[01] a22*b22*c22[01] a11*b13*c31[02] a23*b32*c22[02] a12*b23*c31[03] a33*b32*c23[03] a22*b23*c32[04] a33*b31*c13[04]
03	K2c3c0db3e6	21	0	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a12*b22*c21[03] a33*b31*c13[03] a22*b22*c22[04] a31*b11*c13[04]
04	K4831b95bcd	98	0	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a12*b22*c21[03] a33*b33*c33[03] a22*b22*c22[04] a31*b11*c13[04]
05	Ka624a77c4e	65	0	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a13*b31*c11[03] a32*b22*c23[03] a23*b31*c12[04] a31*b12*c23[04]
06	K98c04fba6b	93	0	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a13*b31*c11[03] a32*b23*c33[03] a23*b31*c12[04] a31*b12*c23[04]
07	Kac65f87215	379	0	a11*b11*c11[01] a22*b23*c32[01] a11*b12*c21[02] a23*b33*c32[02] a13*b31*c11[03] a32*b23*c33[03] a23*b31*c12[04] a32*b22*c23[04]
08	K37d896ce4f	1594	28	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a22*b22*c22[02] a13*b33*c31[03] a31*b12*c23[03] a23*b33*c32[04] a31*b11*c13[04]
09	K5ed6be0d41	51	0	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a22*b22*c22[02] a13*b33*c31[03] a32*b22*c23[03] a23*b33*c32[04] a31*b11*c13[04]
10	K3046dd5133	77	0	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a32*b22*c23[02] a13*b33*c31[03] a31*b12*c23[03] a23*b33*c32[04] a31*b11*c13[04]
11	K45911591b5	50	0	a11*b11*c11[01] a22*b23*c32[01] a13*b31*c11[02] a32*b23*c33[02] a23*b31*c12[03] a32*b22*c23[03] a23*b33*c32[04] a31*b12*c23[04]
12	K992fc077a4	88	0	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a12*b23*c31[03] a33*b31*c13[03] a22*b23*c32[04] a31*b12*c23[04]
13	Ka7e5fc0ad4	18	0	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a12*b23*c31[03] a33*b31*c13[03] a22*b23*c32[04] a33*b32*c23[04]
14	K7ffa7db39f	73	29	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a13*b32*c21[03] a32*b21*c13[03] a23*b32*c22[04] a31*b13*c33[04]
15	Kdafda2915b	71	0	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a13*b32*c21[03] a32*b21*c13[03] a23*b32*c22[04] a32*b23*c33[04]
16	K431981c73c	81	0	a11*b12*c21[01] a22*b21*c12[01] a11*b13*c31[02] a23*b31*c12[02] a13*b32*c21[03] a32*b23*c33[03] a23*b32*c22[04] a31*b13*c33[04]
17	K8e6900a483	15	0	a11*b12*c21[01] a22*b23*c32[01] a13*b31*c11[02] a32*b23*c33[02] a22*b21*c12[03] a31*b12*c23[03] a23*b31*c12[04] a31*b13*c33[04]
18	K6895940d07	26	0	a11*b12*c21[01] a22*b23*c32[01] a13*b31*c11[02] a32*b23*c33[02] a23*b31*c12[03] a32*b22*c23[03] a23*b33*c32[04] a31*b12*c23[04]
19	K72bbb775d8	42	0	a11*b12*c21[01] a22*b23*c32[01] a13*b32*c21[02] a22*b21*c12[02] a13*b33*c31[03] a32*b21*c13[03] a23*b33*c32[04] a31*b12*c23[04]
20	K12fc70e8df	47	0	a11*b12*c21[01] a23*b31*c12[01] a12*b22*c21[02] a33*b31*c13[02] a12*b23*c31[03] a31*b11*c13[03] a22*b23*c32[04] a31*b12*c23[04]
21	K9c4f7421a4	13	5	a11*b12*c21[01] a23*b31*c12[01] a12*b22*c21[02] a33*b31*c13[02] a22*b23*c32[03] a31*b11*c13[03] a23*b33*c32[04] a31*b12*c23[04]
